date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,Un Finde | CROSSOVER #2,Big One & FMK & Ke Personajes,3tiJUOfAEqIrLFRQgGgdoY,89,162500,0,7cAfD0HludcAifXAbcIR80,2023-04-04,"argentine trap, cuarteto, cumbia",argentine trap
2023-05-18,2,La Bebe - Remix,Yng Lvcas & Peso Pluma,2UW7JaomAMuX9pZrjVpHAU,99,234352,1,6aBVGuOUEuX18rHxyDWbti,2023-03-17,"reggaeton mexa, reggaeton, electro corridos, dembow belico",reggaeton mexa
2023-05-18,3,M.A - Remix,BM & Callejero Fino & La Joaqui,7JB29gnUowzSGRdIpeVqRQ,85,272727,1,3iggaiQChBAIIfQP8ZH2bR,2023-04-05,"rkt, turreo, cuarteto, cumbia",rkt
2023-05-18,4,Classy 101,Feid & Young Miko,1hZsWUnLbqRw09jLAMQSsb,95,195986,1,0lgs2Sa82lyX89nBUWyUy6,2023-03-31,"reggaeton, urbano latino",reggaeton
2023-05-18,5,un x100to,Grupo Frontera & Bad Bunny,6pD0ufEQq0xdHSsRbg9LBK,99,194563,0,7aGzSSUD8S6IhPCsZSiuMT,2023-04-17,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, corridos bélicos, ranchera",cumbia norteña
2023-05-18,6,Pobre Corazón - En Vivo,"Ke Personajes, Onda Sabanera",1AX4aybSRyXHWrjg27wTFE,84,198930,0,7kNdveFXAKstJ8iNMrwq4Z,2023-03-02,"cumbia, cuarteto",cumbia
2023-05-18,7,En La Intimidad | CROSSOVER #1,Big One & Emilia & Callejero Fino,7w7BrPbOjF5OxChs2dxFve,85,165854,0,5OT9JgUd8WVWBJgYog7a82,2023-02-01,"argentine trap, cuarteto, cumbia",argentine trap
2023-05-18,8,Ella Baila Sola,Eslabon Armado,3dnP0JxCgygwQH9Gm7q7nb,89,165671,0,3Mm1P5CEEAiuJqBclr2EyU,2023-04-28,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",corridos tumbados
2023-05-18,9,Ya No Vuelvas (Versión Cuarteto),"Luck Ra, La K'onga, Ke Personajes",0u6JsFiEEXb6kaF0oqyeFi,84,204000,0,3X0T1blaMiY2aev0wrbK1G,2022-12-01,"cuarteto, cumbia, argentine trap",cuarteto
2023-05-18,10,Rara Vez,Taiu & Milo j,7MVIfkyzuUmQ716j8U7yGR,92,128677,0,26wRfIX4WqKLKHll9O3KnF,2023-02-08,argentine trap,argentine trap
