date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,Ella Baila Sola,Eslabon Armado,3dnP0JxCgygwQH9Gm7q7nb,89,165671,0,3Mm1P5CEEAiuJqBclr2EyU,2023-04-28,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",corridos tumbados
2023-05-18,2,un x100to,Grupo Frontera & Bad Bunny,6pD0ufEQq0xdHSsRbg9LBK,99,194563,0,7aGzSSUD8S6IhPCsZSiuMT,2023-04-17,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, corridos bélicos, ranchera",cumbia norteña
2023-05-18,3,El Azul,Junior H & Peso Pluma,1haJsMtoBhHfvuM7XWuT3W,95,187225,0,2szyIt0ulaHnKxxyrlUCDB,2023-02-10,"corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, música mexicana, banda",corridos tumbados
2023-05-18,4,La Bebe - Remix,Yng Lvcas & Peso Pluma,2UW7JaomAMuX9pZrjVpHAU,99,234352,1,6aBVGuOUEuX18rHxyDWbti,2023-03-17,"reggaeton mexa, reggaeton, electro corridos, dembow belico",reggaeton mexa
2023-05-18,5,PRC,Peso Pluma & Natanael Cano,2mpoNBkngUEwnaKoBhZ0vl,96,184066,1,2OXBosbXT7Qs3J6vBd6IkI,2023-01-23,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos",corrido
2023-05-18,6,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,0FxtC8uFapbpDBliAU3sd6,95,174942,1,507VZINfvVEAyrcPbJuOVU,2022-11-24,"corridos tumbados, corrido, corridos bélicos, sierreño, sad sierreño, electro corridos, música mexicana, banda",corridos tumbados
2023-05-18,7,Por las Noches,Peso Pluma,6YWME4xCa5Lm6X1exVMQIC,93,239845,0,2Pksd4k88XH1QENsu2vqeZ,2021-06-11,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos",corrido
2023-05-18,8,Abcdario,"Eden Muñoz, Junior H",0qCPD6ilr9nXkI4KVZgcns,77,220650,0,7BgImTrFzm2nQQW59IeFGD,2023-05-13,"banda, corrido, norteño, corridos bélicos, corridos tumbados",banda
2023-05-18,9,Fin de Semana,Oscar Maydon & Junior H,6TBzRwnX2oYd8aOrOuyK1p,91,224920,0,366AAoKCXunrJSqKqZuafy,2023-01-13,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, sad sierreño",corrido
2023-05-18,10,Chanel,Becky G & Peso Pluma,5RcxRGvmYai7kpFSfxe5GY,91,201993,0,4cd4QB02mwPtiTOJBzQmWo,2023-03-30,"reggaeton, latin",reggaeton
2023-05-18,11,El Gordo Trae El Mando,Chino Pacas,6SvAvDIzS5ZWBagkc7XOgp,92,112087,1,0IeCqguWKSslODbwnrelhq,2023-01-27,"corrido, corridos tumbados, corridos bélicos, música mexicana",corrido
2023-05-18,12,Ch y la Pizza,Fuerza Regida,0UbesRsX2TtiCeamOIVEkp,86,136913,1,7idxAlo8GuUKWV7RhOlptp,2022-12-30,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño",corrido
2023-05-18,13,Frágil,"Yahritza Y Su Esencia, Grupo Frontera",4JdSXF2p71cr8uCY3UiJM0,89,160517,0,6iZUwDpa27jeAvKxs8UYI2,2023-04-07,"sad sierreño, música mexicana, banda, corridos tumbados, corrido",sad sierreño
2023-05-18,14,TQG,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,96,197933,1,4kS7bSuU0Jm9LYMosFU2x5,2023-02-24,"reggaeton, latin, urbano latino",reggaeton
2023-05-18,15,Acróstico - Milan + Sasha,Shakira,7txjUEY6McJDJKqIo1Rxjp,81,170785,0,4ZQmQzeicvUGkLxFTI2Dvd,2023-05-11,latin pop,latin pop
2023-05-18,16,Que Vuelvas,Carin Leon & Grupo Frontera,5HR7yfhSCeoOHRQN05XnZQ,91,169418,0,5i9lMMUZ1QZNsLEE3j50kT,2022-12-09,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, corridos bélicos, ranchera",cumbia norteña
2023-05-18,17,Shorty Party,Cartel De Santa,55ZATsjPlTeSTNJOuW90pW,90,265000,1,4eoF8b15EaosNzpn2N3Rt9,2023-03-04,"mexican hip hop, latin hip hop",mexican hip hop
2023-05-18,18,Las Morras,Peso Pluma & Blessd,0lc2neV7ZzjZExwCIVG2B3,89,155550,1,4jox3ip1I39DFC2B7R5qLH,2023-04-04,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos",corrido
2023-05-18,19,Pacas De Billetes,Natanael Cano,1EZk1gal98tb4lNI862KzO,83,188074,1,507VZINfvVEAyrcPbJuOVU,2023-05-01,"corridos tumbados, corrido, corridos bélicos, sierreño, sad sierreño, electro corridos, música mexicana, banda",corridos tumbados
2023-05-18,20,Bebe Dame,Fuerza Regida,0IKeDy5bT9G0bA7ZixRT4A,85,271861,0,7JH7pr10sJV9caUhk3ORyK,2022-12-28,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño",corrido
2023-05-18,21,ROSA PASTEL,"Peso Pluma, Jasiel Nuñez",4yjeRuoVickg1G87LWeRes,86,204253,1,4jox3ip1I39DFC2B7R5qLH,2023-04-20,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos",corrido
2023-05-18,22,Classy 101,Feid & Young Miko,1hZsWUnLbqRw09jLAMQSsb,95,195986,1,0lgs2Sa82lyX89nBUWyUy6,2023-03-31,"reggaeton, urbano latino",reggaeton
2023-05-18,23,El Tsurito,Junior H & Peso Pluma & Gabito Ballesteros,1piak4R3yW4otWWyaSqyCH,87,194518,1,2Vsd77mgdyNDlYG1XYmBuA,2023-04-07,"corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, música mexicana, banda",corridos tumbados
2023-05-18,24,En Paris,El Chachito & Junior H,1Fuc3pBiPFxAeSJoO8tDh5,88,162795,0,02t065wNWRCc7Yz9jG0ahR,2022-12-24,"corrido, corridos bélicos, corridos tumbados",corrido
2023-05-18,25,Igualito a Mi Apá,"Fuerza Regida, Peso Pluma",17js0w8GTkTUFGFM6PYvBd,88,166821,1,7idxAlo8GuUKWV7RhOlptp,2022-12-30,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño",corrido
2023-05-18,26,Así Lo Quiso Dios,"Eslabon Armado, Luis R Conriquez",6X5WZbJzXtk6aO03HlxuZ9,82,205299,0,5aDEezKnOqyQo0qvTFhpkM,2023-04-28,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",corridos tumbados
2023-05-18,27,Yandel 150,Yandel,2oiixB9QMIzhWaHGVlQx4g,90,216148,1,0T4sp7vn9arhvBUAda3foX,2023-01-13,"reggaeton, urbano latino, latin",reggaeton
2023-05-18,28,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,4nrPB8O7Y7wsOCJdgXkthe,95,214945,0,1gi2iwr1l8IUyHYHxi01pg,2023-01-11,"argentine trap, trap latino, urbano latino",argentine trap
2023-05-18,29,BESO,"ROSALÍA, Rauw Alejandro",609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-18,30,Malas Decisiones,Kenia OS,6Xj014IHwbLVjiVT6H89on,87,139146,0,2jN4nUsaEyeT4oefP5XhF6,2022-10-26,reggaeton mexa,reggaeton mexa
2023-05-18,31,EL HECHIZO,Ovy On The Drums & Peso Pluma,1mF6RkY7x1KsDBZS6cV5f1,85,167988,1,7cWrHFNgZmtltUv0ZW0BNE,2023-03-09,reggaeton,reggaeton
2023-05-18,32,Los Collares,Oscar Maydon & El Padrinito Toys,46FdwGMcgz6gik4RCpWBAW,85,148793,0,1JKGaS4Mr4ZjFRlbDbAFzf,2022-09-30,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, sad sierreño",corrido
